,Questions,Correct,A,B,C,D,Category
14,"This is the twelfth-longest river in the world. It runs through China, Myanmar, Thailand, Laos, Cambodia and Vietnam. There are various theories about the source and the exact length of the river because there are several effluents of it that are too difficult to explore. Due to the many rapids and waterfalls, as well as the extreme changes in the flow of the river, sailing is extremely difficult. What is the name of this river?
",Mekong,Mekong,Saskatchewan,Angara,Brahmaputra,geography
15,"The longest river in Europe is Volga. But do you know which is the second longest one? It flows through several major European cities, such as Ulm, Vienna, Bratislava, Budapest and Belgrade. The river empties in the Black Sea on the terrirories of Romania and Ukraine.
",Danube,Don,Dniepr,Danube,Emba,geography
16,"The Ganges river is considered to be a holy in India. There is a Hindu legend that the river was created from the sweat of the feet of Vishnu, collected by Brahma. According to Hindu beliefs, if you bathe in the waters of Ganges, it will wash away your sins. However this is not very hygienic, as the river is badly polluted by cremated corpses, carcasses, waste from factories and more.  Where does this river empty?
",The Bay of Bengal,The Bay of Bengal,Lop Nur,The Quarry Bay,Kara Sea,geography
17,"Victoria Falls is one of the most spectacular waterfalls in the world. The falls are named after Queen Victoria by David Livingstone, the explorer who visited them in 1855. The falls are 128 m (420 ft) high and are situated on this river.
",Zambezi,Zambezi,Congo,Gambia,Orange,geography
18,"The Nile is generally considered the longest river in the world.  The source of this mighty river remained unknown for centuries. Finally Lake Victoria was decided to be its source, although there are other theories. Lake Victoria is located on the territories of these three countries.
","Uganda, Kenya and Tanzania","Sudan, Ethiopia and Kenya","Zambia, Angola and Sudan","Uganda, Kenya and Tanzania","Egypt, Morocco and Zimbabwe",geography
19,"Name the line, which is the same distance from the North Pole and South Pole and runs horizontally around the world.
",Equator,Tropic of Capricorn,Equator,Tropic of Cancer,Prime Meridian,geography
20,"What term refers to the horizontal line, 23.5 degrees S, which passes through South America, Africa, and Australia?
",Tropic of Capricorn,Tropic of Cancer,Prime Meridian,Tropic of Capricorn,Equator,geography
21,"Which continents are entirely in the Southern Hemisphere?
",Australia and Antarctica,"South America, Africa, and Australia",Australia and Antarctica,"South America, Australia and Antarctica",South America and Australia,geography
22,"Which continents (landmasses, not peripheral islands) are entirely in the Northern Hemisphere?
","North America, Europe, and Asia",North America and Europe,"Europe, Africa and Asia","North America, Africa, and Asia","North America, Europe, and Asia",geography
23,"Which continents are entirely in the Western Hemisphere?
",North America and South America,"North America, Europe, and Asia","Europe, Asia, Africa, Australia",Australia and Antarctica,North America and South America,geography
24,"Which feature on a map helps determine direction?
",a compass rose,a key,a legend,a compass rose,a scale,geography
25,"Which of these is not a type of map projection?
",Crusoe,Robinson,Crusoe,Mercator,Interrupted,geography
26,"Which of these continents is largest (by territory)?
",North America,South America,Antarctica,North America,Europe,geography
27,"Which of these countries is smallest (by territory)?
",San Marino,Seychelles,Liechtenstein,San Marino,Marshall Islands,geography
28,"Which of these US cities is largest (by population)?
",Houston,Houston,Phoenix,Philadelphia,San Antonio,geography
29,"Which of these mountains is highest?
",Mount McKinley,Puncak Jaya,Mount McKinley,Mount Elbrus,Mount Kilimanjaro,geography
30,"Which of these lakes is deepest?
",Tanganyika,Caspian Sea,Malawi or Nyasa,Tanganyika,Issyk-Kul,geography
31,"Which of these rivers is longest?
",Huang,Lena,Huang,Amur,Ob-Irtysh,geography
32,"Which of these seas is largest?
",Mediterranean,Bering,Arabian Sea,Mediterranean,Gulf of Mexico,geography
33,"Which of these deserts is largest?
",Syrian,Chihuahuan,Syrian,Thar,Great Sandy,geography
34,"Which of these inhabited places is wettest?
",Moulein,Moulein,Sylhet,Baguio,Lae,geography
35,"Which of these oceans has the greatest depth?
",Pacific Ocean,Pacific Ocean,Indian Ocean,Atlantic Ocean,Arctic Ocean,geography
36,"The rivers - the Tajo, the Ebro, the Duero, and the Guadiana, are located in this country.
",Spain,Columbia,Portugal,Spain,Brazil,geography
37,"The volcanoes - Akan, Aso, Mount Fuji and Rausu are located in this country.
",Japan,Japan,Malaysia,North Korea,Indonesia,geography
38,"Onega, Khanka and Chudskoye are three of the many lakes in this country.
",Russia,Kazakhstan,Mongolia,Ukraine,Russia,geography
39,"The valleys of the Yellow River and the Pearl River are two of the seven main national valleys in this country.
",China,Burma,China,Thailand,India,geography
40,"Pico da Bandeira, Pico do Cruzeiro and Pedra da Mina are three of the numerous mountains located in this South American country.
",Brazil,Argentina,Chili,Brazil,Peru,geography
41,"Chauvet Cave and Meyrieres Cave are two caves located in this European state.
",France,France,Netherlands,Spain,Belgium,geography
42,"Kainji Lake and Lake Chad are considered lakes of this country.
",Nigeria,Niger,Nigeria,Cameroon,Chad,geography
43,"Mitchell, Jardine, Staaten, Flinders, Leichhardt, and Nicholson are just few of the rivers in this country.
",Australia,Indonesia,Australia,Papua New Guinea,New Zealand,geography
44,"Kaskaspakte, Akka and Sielmmacohkka are three mountains in this country.
",Sweden,Norway,Finland,Denmark,Sweden,geography
45,"Dasht-e Kavir and Kavir-e Lut are deserts located in this Asian country.
",Iran,India,Iran,Pakistan,Iraq,geography
46,"Which two countries border the Dead Sea?
",Jordan and Israel,Jordan and Israel,Lebanon and Jordan,Syria and Jordan,Lebanon and Israel,geography
47,"Is it true that Yasseir Arafat became chairman of the Palestinian Liberation Organization in 2004?
",No,Yes,No,,,geography
48,"What are the three Benelux countries?
","Belgium, Netherlands and Luxembourg","Belgium, Netherlands and Luxembourg","Finland, Sweden and Denmark","The U.S.A., Canada and Mexico","Honduras, Nicaragua and Belize",geography
49,"Did the 13 colonies declare their independence in 1776?
",Yes,No,Yes,,,geography
50,"Europe is the smallest continent.
",False,True,False,,,geography
51,"What are the Tropic of Cancer and the Tropic of Capricorn?
",Lines of latitude,Lines of latitude,Lines of longitude,Parallel to the Greenwhich Meridian,None of these,geography
52,"Which statement about the emu and the kangaroo is not true?
",Both are indigenous only to Australia.,Both are indigenous only to Australia.,Both are on the national emblem of Australia.,Both are incapable of flying.,Both are incapable of  walking backwards.,geography
53,"What was the former name of the city of Istanbul ?
",Constantinople,Constantinople,Persia,Zaire,Siam,geography
54,"Where would you find the shortest river in the world?
",Montana,Wales,Ecuador,Tasmania,Montana,geography
55,"What major geographical feature is located at 23.5 degrees North latitude?
",The Tropic of Cancer,The Equator,The Arctic Circle,The Tropic of Capricorn,The Tropic of Cancer,geography
56,"Which would be found at 39 degrees 43 minutes North latitude?
",The majority of the Mason-Dixon Line.,The Tropic of Cancer,The Tropic of Capricorn,The majority of the Mason-Dixon Line.,The border between Canada and  Washington State.,geography
57,"Which country held the record for the highest birth rate in the 2005 world statistics?
",Niger,Niger,Uganda,Mali,Vatican City,geography
58,"How many US states border the Gulf of Mexico?
",5,4,3,5,10,geography
59,"Measuring at the Equator, what is the closest approximation of the Earths circumference?
","24,900 miles","24,900,000 miles","24,900 miles","249,000 miles","2,490,000 miles",geography
60,"The people of which country watched the most TV per week in 2005?
",Thailand,Thailand,The Philippines,The USA,Egypt,geography
61,"How many US states border the Pacific Ocean?
",5,11,4,5,3,geography
62,"Which one of these ski resorts is not located in the Alps?
",Mont-Tremblant,Kitzbuhel,Zermatt,Mont-Tremblant,Chamonix-Mont-Blanc,geography
63,"The tallest mountain peak in the US is Mount McKinley. This is the second tallest.
",Mount Saint Elias,Mount Saint Elias,Glacier Peak,Mount Washington,Gannett Peak,geography
64,"Which one of these mountains is not a volcano?
",Mount Aspiring,Mauna Kea,Mount St. Helens,Mount Vesuvius,Mount Aspiring,geography
65,"The highest mountain peak on our planet is Mount Everest. It was first climbed by Edmund Hillary and Tenzing Norgay on May 29, 1953. What is the home country of Sir Edmund Hillary?
",New Zealand,United Kingdom,The United States,France,New Zealand,geography
66,"Which saltwater lake, bordered on the west by Azerbaijan and Russia, is the largest inland body of water in the world?
",Caspian Sea,Tanganyika,Victoria,Baikal,Caspian Sea,geography
67,"This country, situated in North Europe, has almost 200 000 lakes - more than any other country in the world.
",Finland,Finland,Sweden,The Netherlands,Georgia,geography
68,"Which body of water, situated in Southern Siberia, is the deepest and oldest freshwater lake on Earth?
",Baikal,Onega,Ladoga,Huron,Baikal,geography
69,"This water body, which is South Americas largest freshwater lake, is the highest commercially navigable lake.
",Titicaca,Nyasa,Nicaragua,Titicaca,Michigan,geography
70,"This country has more than 60% of worlds lakes due to its special drainage system.
",Canada,Australia,Russia,Canada,The USA,geography
71,"This freshwater-lake island, with a surface area of 2,766 kmÂ², is the biggest on Earth.
",Manitoulin Island,Islandlake,Ainslie,Manitoulin Island,Isle of Wight,geography
72,"What Canadian lake is the largest in the world, located on an island?
",Nettilling Lake,Nettilling Lake,Aral,Winnipeg,Michigan,geography
73,"This is the lowest lake on Earth, situated at about 400 meters below sea level on the border between Israel and Jordan.
",Dead Sea,Issyk-Kul,Balkhash,Urmia,Dead Sea,geography
74,"Which tiny lake located in Tibet is the highest lake on Earth?
",Lhagba Pool,Lhagba Pool,Rush Lake,Laguna Lobato,Poquentica Lake,geography
75,"With a surface area of about 82,000 kmÂ², this lake between Ontario and Minnesota is the largest single freshwater lake in the world.
",Lake Superior,Turkana,Michigan,Lake Superior,Onega,geography
76,"The word volcano comes from the name of the Roman god of fire, Vulcan. Who is the analogue of Vulcan in Greek mythology?
",Hephaestus,Hephaestus,Helios,Hermes,Zeus,geography
77,"If magma contains more than 65% silica, the lava is called this.
",felsic or acidic,felsic or acidic,thick,mafic or basic,dense,geography
78,"Phreatic eruptions occur when the temperature of magma is relatively low and it solidifies very quickly, sometimes blocking the vent of the volcano.
",False,True,False,,,geography
79,"Yellowstone Caldera is considered a supervolcano because within the past two million years it has erupted extremely violently three times . The most recent eruption occurred this long ago, and spread volcanic ash over most of the North American continent.
","640,000 years","1,510,000 years","40,000 years","640,000 years","17,000 years",geography
80,"Which of the following states of America is an inland one and has an official motto that does not come from Latin?
",Montana,Montana,Virginia,Oklahoma,South Carolina,geography
81,"Which of the following states has an official motto In God we trust, which is also the official motto of the United States of America?
",Florida,Georgia,Washington,South Dakota,Florida,geography
82,"Three of these US states have an official motto related to liberty. Spot the odd one.
",Oklahoma,Iowa,Oklahoma,New Jersey,New Hampshire,geography
83,"This famous Latin maxim, which is the official motto of South Carolina, means While I breathe, I hope.
",Dum spiro spero,Si quaeris peninsulam amoenam circumspice,Nil sine numine,Salus populi suprema lex esto,Dum spiro spero,geography
84,"Three of the following US states have a motto consisting of one single word in English. Which one does not belong to the group?
",West Virginia,Utah,Texas,West Virginia,Rhode Island,geography
85,"North to the Future is the official motto of this US state, which is the largest in area.
",Alaska,Texas,Alaska,Nevada,Colorado,geography
86,"Which of the following maxims, meaning The people rule, is the official state motto of Arkansas?
",Regnat populus,Esto perpetua,Regnat populus,Dirigo,Ditat Deus,geography
87,"This famous exclamation, which has been attributed to ancient scientist Archimedes, is the official state motto of California.
",Eureka,Excelsior!,Virtute et armis,Ad astra per aspera,Eureka,geography
88,"The official motto of this state in the Pacific Northwest of the United States comes from Chinook Jargon.
",Washington,Wisconsin,Washington,Pennsylvania,New York,geography
89,"Which of these states has an official motto that doesnt include the word rights in it?
",Indiana,Iowa,Indiana,Wyoming,Alabama,geography
90,"Which volcano, located on Ross Island, Antarctica, is the southernmost active volcano on Earth?
",Mount Erebus,Mayon Volcano,Cold Bay Volcano,Mount Erebus,Teide,geography
91,"This volcano, which is the largest in Europe, is located on the largest island in the Mediterranean Sea.
",Mount Etna,Mount Etna,Hekla,El Misti,Santorini,geography
92,"PopocatÃ©petl, a volcano whose name means Smoking Mountain, is 70 km away from the capital of which American country?
",Mexico,Mexico,Peru,Canada,Argentina,geography
93,"Mount Vesuvius, that is notorious for the destruction of two Roman cities in the year 79, was linked most closely to which hero and demigod?
",Hercules,Asclepius,Apollo,Zeus,Hercules,geography
94,"What is the biggest extinct volcano in Ecuador, situated in the Andes mountain.
",Chimborazo,Chimborazo,Ojos Del Salado,Llullaillaco,Cotopaxi,geography
95,"This dormant volcano, which is 66 km northeast of Tehran, is the symbol of Iranian resistance against foreign rule.
",Mount Damavand,Mount Hood,Krakatoa,Mount Damavand,Krafla,geography
96,"This active volcano, whose name means long mountain in Hawaiian, is one of the five peaks that form the Island of Hawaii.
",Mauna Loa,Cotopaxi,Mauna Loa,Mount Kea,Hekla,geography
97,"What volcano located on the island of Tenerife represents the highest mountain on Spanish territories?
",Teide,Teide,Stromboli,Santorini,Duvalo,geography
98,"The name of this volcano, located on the Alaska Peninsula, means new eruption.
",Novarupta,Newatsa,Mount Rainier,Novarupta,Mount Hood,geography
99,"Which is the volcanically active region that is situated in a famous national US park and has a territory of 55 kilometers by 72 kilometers?
",Yellowstone Caldera,Yosemite Valley,Yellowstone Caldera,Mount Shasta,Cold Bay Volcano,geography
100,"Where is the southernmost point in all 50 states?
",Hawaii,Texas,Hawaii,Florida,California,geography
101,"And where is the lowest point in the USA, North America, and western hemisphere? I need the state and national park name.
","California, Death Valley NP","Maine, Acadia NP","California, Death Valley NP","Arizona, Grand Canyon NP","Wyoming, Yellowstone NP",geography
102,"The state with the largest area in the lower 48 is?
",Texas,California,Texas,Montana,Arizona,geography
103,"England, Norway, Belgium and Denmark all border this sea.
",North sea,Baltic sea,Black sea,North sea,Aegean sea,geography
104,"Towards the beginning of the new millennium, three of these four countries had a population of approximately 32 million people. Which is the odd one?
",Colombia,Algeria,Kenya,Colombia,Morocco,geography
105,"Canada, the United States and China are three countries whose total area is approximately 12 million sq km.
",False,False,True,,,geography
106,"The US is one of the leading countries in the number plastic surgery procedures.
",True,False,True,,,geography
107,"In the beginning of the new millennium, Russias, Iraqs and Saudi Arabias oil reserves were above 100 billion bbl.
",False,True,False,,,geography
108,"USA is considered to be one of the most popular destinations, where thousands of immigrants come to seek asylum. Just one of these four states is similar in to USA in this respect.
",France,France,Finland,Japan,Portugal,geography
109,"Ireland, Germany and Austria are famous for the high consumption of this alcohol.
",Beer,Brandy,Beer,Wine,Vodka,geography
110,"Dominica, New Zealand and Finland are three countries with high crime rates.
",True,False,True,,,geography
111,"All of these countries and commonwealth territories have a high divorce rate except one.
",Sri Lanka,Puerto Rico,Russia,Sri Lanka,Qatar,geography
112,"This island is well known in scientific fields for being home of five percent of the worlds plant and animal species, with 80% of them unique to it. The island is also the fourth biggest on Earth, with population of about 17,500,000 people.
",Madagascar,Greenland,Madagascar,New Guinea,Tasmania,geography
113,"In Greek mythology, this island is the legendary birthplace of the goddess of beauty, love, and passion, the charming Aphrodite, where according to the legend, she emerged from the sea foam.
",Cyprus,Crete,Cyprus,Limnos,Rhodes,geography
114,"Because of its spectacular nature forms, one of this insular countrys islands has been a set for the filming of many movie productions, including the highly successful, Lord of the Rings and The Chronicles of Narnia.
",New Zealand,The Philippines,New Zealand,Indonesia,New Guinea,geography
115,"Despite being the largest in the world, this island is sparsely populated, due to its unfavourable climate.
",Greenland,Greenland,New Guinea,Victoria Island,Madagascar,geography
116,"Being the most populous in the world, with bigger population than Australia and Antarctica, the density of this islands inhabitants forced the countrys government to start transmigration programs, aimed at resettling people to other, less-crowded parts of the country.
",Java,Java,Sumatra,Borneo,Sulawesi,geography
117,"This is the largest island in the Mediterranean Sea, famous for one of the worlds most active volcanoes - Etna.
",Sicily,Sicily,Crete,Sardinia,Corse,geography
118,"Al Nakheel Properties, one of the leading real estate developers in Dubai and creator of the worldwide famous Palm Islands, is also the initiator of another grand project of artificial islands, which resembles the shape of what?
",The globe,A seashell,The globe,A human face,A dolphin,geography
119,"Which of the following is a traditional Vietnamese clothing, worn primarily by women?
",Ão dÃ i,Qipao,Ão dÃ i,Nhu,Raglan,geography
120,"The gowni is a typical national costume in which African country?
",Tanzania,Tanzania,Malawi,Uganda,Indonesia,geography
121,"These knee-breeches made of leather are a traditional Bavarian garment.
",Lederhosen,Kilt,Lederhosen,Kisen,Wrestlers,geography
122,"Hijab, which is also a term meaning barrier, is worn as a traditional clothing in which countries?
",Arabic,African,European,Arabic,Latin,geography
123,"Which of these national costumes is closely related to Sikhism - a religion that comes from 16th-century northern India?
",Turban,Khalsa,Sari,Turban,Sayyid,geography
124,"Barong is the embroidered formal garment of which country in South-East Asia?
",The Philippines,Russia,Indonesia,The Philippines,Japan,geography
125,"Which of these national costumes does not belong to a European nation?
",Hanfu,Hanfu,Tracht,Kilt,Kroje,geography
126,"Which one of the following national costumes is not Chinese?
",Kente cloth,Kente cloth,Qipao,Cheongsam,Mao suit,geography
127,"Which of these pieces of clothing is worn on the head?
",Fez,Fez,Mitumba,Koto,Kiondo,geography
128,"Three of the enlisted national garments are African, while the fourth one is Norwegian. Which one?
",Bunad,Sanafil,Bunad,Dashiki,Boubou,geography
129,"According to the legend, which of these is a part of the Three Fortunate Concealments that protect Britain from any danger coming from the sea?
",The head of Bran the Blessed,The head of Bran the Blessed,Stone of Destiny,The Dragons,The bones of Gwerthefyr the Blessed,geography
130,"While driving or walking down Kings Cross Road and Farringdon Road in London few people are aware that unseen beneath them runs which river?
",River Fleet,River Thames,River Avon (Shakespeares Avon),River Rhodda,River Fleet,geography
131,"Who made the statue of King Richard I outside the Houses of Parliament in Old Palace Yard in London?
",Baron Carlo Marochetti,John Doubleday,Baron Carlo Marochetti,Sir George Frampton,Joseph Edgar Boehm,geography
132,"The Great Pavement, a hidden, unknown to most tourists and seldom-displayed treasure, is located in which building in London?
",Westminster Abbey,Buckingham Palace,Tate Gallery,St Jamess Palace,Westminster Abbey,geography
133,"The Jewel Tower, built in 1366, is physically separated from the Palace of Westminster in London.
",True,False,True,,,geography
134,"The famous department store Harrods that occupies an entire block is located on which road in London?
",Brompton Road,Abbey Road,Threadneedle Street,Brompton Road,Fleet Street,geography
135,"The Old Royal Observatory, which is a part of the National Maritime Museum in London, was built in what year?
",1675,1675,1765,1567,1657,geography
136,"This famous writer, whose house was at 17 Gough Square in London, said: When a man is tired of London, he is tired of life, for there is in London all life can afford.
",Dr Samuel Johnson,Charles Dickens,Dr Samuel Johnson,Thomas Chestre,Tomas John Dibdin,geography
137,"The Badwater basin, the lowest point in North America, is located in which US valley?
",Death Valley,Sun Valley,Death Valley,Big Smoky Valley,Hudson Valley,geography
138,"The Big Smoky Valley, that runs between the Toiyabe Range and the Toquima Range, is located in which US state?
",Nevada,Minnesota,Indiana,Oregon,Nevada,geography
139,"The Grand Valley is an extended populated agricultural valley located along which US river?
",Colorado River,Alabama River,Mississippi River,Colorado River,Missouri River,geography
140,"Which scenic US valley was described by conservationist John Muir in the following way: (...) None can escape its charms. Its natural beauty cleans and warms like a fire, and you will be willing to stay forever in one place like a tree.?
",Yosemite Valley,Willamette Valley,Yosemite Valley,Sun Valley,Yakima Valley,geography
141,"This densely populated valley in the state of Utah is enclosed by steep mountains in every direction except the northwest.
",Salt Lake Valley,St. Lawrence Valley,Livermore Valley,Las Vegas Valley,Salt Lake Valley,geography
142,"The Shenandoah Valley in western Virginia derives its name from a Native American expression meaning what?
",Beautiful Daughter of the Stars,Beautiful Daughter of the Fields,Beautiful Mother of the Fruits,Beautiful Mother of the Land,Beautiful Daughter of the Stars,geography
143,"The Sonoma Valley in California is famous in the USA for its long-lived and high quality wine industry.
",True,True,False,,,geography
144,"The Menomonee Valley along the Menomonee River in Milwaukee, Wisconsin has what peculiar shape?
",U-shape,S-shape,Y-shape,U-shape,V-shape,geography
145,"Owens Valley, the arid ranching valley of the Owens River, stretches for approximately 75 miles (120 km) on the territory of which US state?
",California,California,Arkansas,Alabama,Arizona,geography
146,"According to the 2000 Census, what is the approximate population of The Bronx, New York?
",1.3 million,"530,000",1.3 million,"930,000","130,000",geography
147,"Who was the first European to see The Bronx, NY?
",Henry Hudson,Henry Hutchinson,Jonas Bronck,Henry Hudson,Jonas Valerian,geography
148,"Which one of these statements is true about The Bronx, NY?
",The only borough that is not an island,The only borough with a zoo,The only borough  that has no colleges,The only borough that is not an island,The highest  borough above sea level .,geography
149,"In 1643, a Native American uprising killed this unauthorized Puritan preacher of a dissident church discussion group, and pioneer in Rhode Island and the Bronx.
",Anne Hutchinson,Peter Cooper,Richard Morris,Anne Hutchinson,Roger Williams,geography
150,"This oldest house in The Bronx, build in 1748, is New York Citys first house museum, operated since 1897 as a public museum by The National Society of Colonial Dames in the State of New York.
",Van Cortlandt House,Valerian House,Van Cortlandt House,Throgs Neck,Fordam Arms,geography
151,"In 1776, 400 British and Hessian troops land in The Bronx.  A group of 400 American troops held them off while Washington got the main army away safely.  What was this battle called ?
",The Battle of Pells Point,The Battle of Pells Point,The Battle of Throgs Neck,The Battle of Eastchester,The Battle of The Bronx,geography
152,"The first college in The Bronx, known as this today, was built in 1884.
",Fordham University,Mercy College,Manhattan College,Fordham University,Lehman College,geography
153,"Edgar Allen Poe wrote this famous poem in The Bronx in 1846.
",Annabel Lee,Call Me Ishmal,Our American War,Annabel Lee,Hiawatha,geography
154,"In 1899, this  world famous institution was opened in The Bronx.
",The Bronx Zoo,Columbia University,The U.S. Olympic Hall of Fame,The Bronx Zoo,The American Hall of Fame,geography
155,"This world famous building opened in The Bronx in 1923.
",Yankee Stadium,The Top of the Sixes,Yankee Stadium,The Louis Morris Building,The Shlump Towers,geography
156,"What are the colors on the flag of  The Bronx, NY?
","Blue, White, Orange","Red, White, Blue","Blue, White, Green","Blue, White, Orange","Red, Green, Orange",geography
157,"Little Rock is the capital and most populous city of this US state.
",Arkansas,Arkansas,Wichita,Kansas,Topeka,geography
158,"What US state borders the states of Virginia, Kentucky, Ohio, Pennsylvania and Maryland?
",West Virginia,Tennessee,Virginia,West Virginia,North Carolina,geography
159,"Which US state is nicknamed The Pine Tree State?
",Maine,New Hampshire,Missouri,Massachusetts,Maine,geography
160,"The southern region of what US state is known as Little Egypt?
",Illinois,Virginia,Illinois,Ohio,Maryland,geography
161,"The capital city of this US state is Trenton, and its largest city is Newark.
",New Jersey,Montana,New Hampshire,New Mexico,New Jersey,geography
162,"The name of which American state means red people in the Choctaw language?
",Oklahoma,Ohio,Oklahoma,North Dakota,Oregon,geography
163,"What US state is known as The Volunteer State?
",Tennessee,Utah,Delaware,Tennessee,Colorado,geography
164,"The flag of what US state features a gold torch and nineteen stars on a blue rectangular field?
",Indiana,Illinois,Idaho,Indiana,Iowa,geography
165,"What US state is known as the Peach State?
",Georgia,Louisiana,Georgia,Montana,Connecticut,geography
166,"The name of this US state means flat water and is derived from the name of the Platte River that flows through the state.
",Nebraska,Montana,Nebraska,Utah,Oklahoma,geography
167,"Which country is known as Ã–sterreich in their native language?
",Austria,Bulgaria,Germany,Austria,The Netherlands,geography
168,"Which countrys capital city is considered de facto capital of the European Union?
",Belgiums,UKs,Hollands,Belgiums,Frances,geography
169,"Which country has the river Danube as most of its northern border?
",Bulgaria,Austria,Hungary,Bulgaria,Romania,geography
170,"Which EU member is divided into a Greek and a Turkish part?
",Cyprus,Greece,Slovenia,Cyprus,Bulgaria,geography
171,"Which countrys first president was VÃ¡clav Havel, a writer and dramatist?
",Czech Republic,Hungary,Poland,Czech Republic,Slovakia,geography
172,"Which Nordic country was first to enter the European Union?
",Denmark,Denmark,Sweden,Finland,Norway,geography
173,"Which European Union member is home to Santa Claus?
",Finland,Finland,Cyprus,Turkey,Sweden,geography
174,"Which of the EU founding members is the country of LibertÃ©, Ã‰galitÃ©, FraternitÃ©?
",France,France,UK,Germany,Italy,geography
175,"Which European Union member has the greatest number of islands?
",Greece,Greece,Italy,UK,Denmark,geography
176,"Which country is the only member of the European Union that is partly located in Africa?
",Spain,France,UK,Spain,Malta,geography
177,"Which EU member has a significant part of its territory below sea level?
",The Netherlands,Belgium,The Netherlands,Poland,Estonia,geography
178,"This European Union member was once known for huge migration of its people, mainly to the US and UK. Nowadays, however, it attracts many immigrants from new EU members.
",Ireland,Spain,Ireland,Italy,Germany,geography
179,"Which EU member was the largest country in Europe in XIV century, but now has land area of just 65 000 sq. km?
",Lithuania,Denmark,Lithuania,Austria,Netherlands,geography
180,"Which mini country was among the European Union founding members?
",Luxembourg,Luxembourg,Malta,Monaco,Liechtenstien,geography
181,"In which European Union member the native people make up only 60% of the total population?
",Latvia,Poland,Austria,Latvia,France,geography
182,"Which former British colony joined the European Union in 2004?
",Malta,Gibraltar,Ireland,Syria,Malta,geography
183,"Which country is the biggest contributor to the European Union budget?
",Germany,UK,Germany,Italy,France,geography
184,"Which country has twice rejected European Union membership in national referendums?
",Norway,Poland,Norway,Turkey,UK,geography
185,"Which European Union member was the first country to reject communist rule and thus sparkle the liberation of so called Eastern Block?
",Poland,Czech Republic,Romania,Germany,Poland,geography
186,"Where is the European Unions westernmost point not counting overseas territories?
",In Portugals Azores islands,In Spains Canary islands,In Portugals Azores islands,In Iceland,In Ireland,geography
187,"Which EU member state was known to the ancient Greeks and Romans as Dacia?
",Romania,Macedonia,Bulgaria,Romania,Slovenia,geography
188,"Which country is the youngest independent state to be a member of the European Union? (It has been an independent country only since 1993.)
",Slovakia,Montenegro,Slovenia,Slovakia,Cyprus,geography
189,"In May 2004 the European Union accepted 10 new countries. Which of them was first to adopt the Euro as its national currency?
",Slovenia,Slovenia,Poland,Slovakia,Estonia,geography
190,"Which country associated with banking is not a member of the European Union?
",Switzerland,Luxembourg,UK,Austria,Switzerland,geography
191,"In which country is the European Unionâ€™s biggest lake located?
",In Sweden,In Finland,In Poland,In Sweden,In Hungary,geography
192,"Which Muslim country was recognized as a candidate for accession in the EU on December 12th, 1999 at the Helsinki summit of the European Council?
",Turkey,Israel,Morocco,Syria,Turkey,geography
